DATE,SITE,BIOMASS,EXCLUSION,VARIABLE,EFFECT.SIZE
5/4/2021,OS,Single carcass,Scavenger,B,0.21
8/1/2020,WP,MME,Herbivore,N,0.04
8/1/2020,WP,MME,Herbivore,Ca,0.09
8/1/2020,WP,MME,Herbivore,K,0.59
8/1/2020,WP,MME,Herbivore,Mg,0.46
8/1/2020,WP,MME,Herbivore,P,0.32
8/1/2020,WP,MME,Herbivore,S,0.44
8/1/2020,WP,MME,Herbivore,Cu,-0.14
8/1/2020,WP,MME,Herbivore,Zn,-0.08
8/1/2020,WP,MME,Herbivore,Mn,-0.18
8/1/2020,WP,MME,Herbivore,Fe,0.12
8/1/2020,WP,MME,Herbivore,B,-0.92
8/1/2020,WP,Single carcass,Herbivore,N,0.11
8/1/2020,WP,Single carcass,Herbivore,Ca,0.57
8/1/2020,WP,Single carcass,Herbivore,K,0.18
8/1/2020,WP,Single carcass,Herbivore,Mg,0.30
8/1/2020,WP,Single carcass,Herbivore,P,-0.04
8/1/2020,WP,Single carcass,Herbivore,S,0.39
8/1/2020,WP,Single carcass,Herbivore,Cu,-0.05
8/1/2020,WP,Single carcass,Herbivore,Zn,0.26
8/1/2020,WP,Single carcass,Herbivore,Mn,-0.64
8/1/2020,WP,Single carcass,Herbivore,Fe,0.16
8/1/2020,WP,Single carcass,Herbivore,B,0.56
8/1/2020,WP,MME,Open,N,0.11
8/1/2020,WP,MME,Open,Ca,0.36
8/1/2020,WP,MME,Open,K,0.29
8/1/2020,WP,MME,Open,Mg,0.09
8/1/2020,WP,MME,Open,P,0.50
8/1/2020,WP,MME,Open,S,0.25
8/1/2020,WP,MME,Open,Cu,-0.14
8/1/2020,WP,MME,Open,Zn,-0.04
8/1/2020,WP,MME,Open,Mn,-0.95
8/1/2020,WP,MME,Open,Fe,0.20
8/1/2020,WP,MME,Open,B,0.28
8/1/2020,WP,Single carcass,Open,N,-0.19
8/1/2020,WP,Single carcass,Open,Ca,0.13
8/1/2020,WP,Single carcass,Open,K,-0.33
8/1/2020,WP,Single carcass,Open,Mg,-0.15
8/1/2020,WP,Single carcass,Open,P,-0.33
8/1/2020,WP,Single carcass,Open,S,-0.04
8/1/2020,WP,Single carcass,Open,Cu,-0.07
8/1/2020,WP,Single carcass,Open,Zn,-0.20
8/1/2020,WP,Single carcass,Open,Mn,-1.10
8/1/2020,WP,Single carcass,Open,Fe,0.38
8/1/2020,WP,Single carcass,Open,B,0.28
8/1/2020,WP,MME,Scavenger,N,0.12
8/1/2020,WP,MME,Scavenger,Ca,0.41
8/1/2020,WP,MME,Scavenger,K,0.06
8/1/2020,WP,MME,Scavenger,Mg,0.00
8/1/2020,WP,MME,Scavenger,P,0.20
8/1/2020,WP,MME,Scavenger,S,0.06
8/1/2020,WP,MME,Scavenger,Cu,0.04
8/1/2020,WP,MME,Scavenger,Zn,0.03
8/1/2020,WP,MME,Scavenger,Mn,-0.79
8/1/2020,WP,MME,Scavenger,Fe,0.05
8/1/2020,WP,MME,Scavenger,B,0.54
8/1/2020,WP,Single carcass,Scavenger,N,0.08
8/1/2020,WP,Single carcass,Scavenger,Ca,0.46
8/1/2020,WP,Single carcass,Scavenger,K,0.08
8/1/2020,WP,Single carcass,Scavenger,Mg,0.24
8/1/2020,WP,Single carcass,Scavenger,P,-0.08
8/1/2020,WP,Single carcass,Scavenger,S,0.16
8/1/2020,WP,Single carcass,Scavenger,Cu,0.00
8/1/2020,WP,Single carcass,Scavenger,Zn,0.28
8/1/2020,WP,Single carcass,Scavenger,Mn,-0.83
8/1/2020,WP,Single carcass,Scavenger,Fe,0.08
8/1/2020,WP,Single carcass,Scavenger,B,0.53
5/4/2021,WP,MME,Herbivore,N,0.30
5/4/2021,WP,MME,Herbivore,Ca,-0.05
5/4/2021,WP,MME,Herbivore,K,0.22
5/4/2021,WP,MME,Herbivore,Mg,-0.15
5/4/2021,WP,MME,Herbivore,P,0.40
5/4/2021,WP,MME,Herbivore,S,0.28
5/4/2021,WP,MME,Herbivore,Cu,0.14
5/4/2021,WP,MME,Herbivore,Zn,-0.19
5/4/2021,WP,MME,Herbivore,Mn,-0.22
5/4/2021,WP,MME,Herbivore,Fe,-0.01
5/4/2021,WP,MME,Herbivore,B,0.14
5/4/2021,WP,Single carcass,Herbivore,N,-0.11
5/4/2021,WP,Single carcass,Herbivore,Ca,-0.23
5/4/2021,WP,Single carcass,Herbivore,K,0.02
5/4/2021,WP,Single carcass,Herbivore,Mg,-0.31
5/4/2021,WP,Single carcass,Herbivore,P,0.20
5/4/2021,WP,Single carcass,Herbivore,S,0.11
5/4/2021,WP,Single carcass,Herbivore,Cu,-0.03
5/4/2021,WP,Single carcass,Herbivore,Zn,-0.24
5/4/2021,WP,Single carcass,Herbivore,Mn,1.13
5/4/2021,WP,Single carcass,Herbivore,Fe,-0.04
5/4/2021,WP,Single carcass,Herbivore,B,-0.16
5/4/2021,WP,MME,Open,N,0.22
5/4/2021,WP,MME,Open,Ca,0.06
5/4/2021,WP,MME,Open,K,0.28
5/4/2021,WP,MME,Open,Mg,-0.13
5/4/2021,WP,MME,Open,P,0.48
5/4/2021,WP,MME,Open,S,0.31
5/4/2021,WP,MME,Open,Cu,0.12
5/4/2021,WP,MME,Open,Zn,-0.05
5/4/2021,WP,MME,Open,Mn,-0.48
5/4/2021,WP,MME,Open,Fe,0.05
5/4/2021,WP,MME,Open,B,0.15
5/4/2021,WP,Single carcass,Open,N,0.16
5/4/2021,WP,Single carcass,Open,Ca,-0.06
5/4/2021,WP,Single carcass,Open,K,-0.06
5/4/2021,WP,Single carcass,Open,Mg,-0.35
5/4/2021,WP,Single carcass,Open,P,-0.18
5/4/2021,WP,Single carcass,Open,S,0.12
5/4/2021,WP,Single carcass,Open,Cu,0.05
5/4/2021,WP,Single carcass,Open,Zn,-0.25
5/4/2021,WP,Single carcass,Open,Mn,-0.51
5/4/2021,WP,Single carcass,Open,Fe,0.08
5/4/2021,WP,Single carcass,Open,B,0.04
5/4/2021,WP,MME,Scavenger,N,0.26
5/4/2021,WP,MME,Scavenger,Ca,0.05
5/4/2021,WP,MME,Scavenger,K,0.28
5/4/2021,WP,MME,Scavenger,Mg,-0.08
5/4/2021,WP,MME,Scavenger,P,0.65
5/4/2021,WP,MME,Scavenger,S,0.36
5/4/2021,WP,MME,Scavenger,Cu,-0.06
5/4/2021,WP,MME,Scavenger,Zn,-0.05
5/4/2021,WP,MME,Scavenger,Mn,-0.25
5/4/2021,WP,MME,Scavenger,Fe,0.01
5/4/2021,WP,MME,Scavenger,B,0.04
5/4/2021,WP,Single carcass,Scavenger,N,0.10
5/4/2021,WP,Single carcass,Scavenger,Ca,0.22
5/4/2021,WP,Single carcass,Scavenger,K,0.20
5/4/2021,WP,Single carcass,Scavenger,Mg,-0.01
5/4/2021,WP,Single carcass,Scavenger,P,0.43
5/4/2021,WP,Single carcass,Scavenger,S,0.29
5/4/2021,WP,Single carcass,Scavenger,Cu,0.25
5/4/2021,WP,Single carcass,Scavenger,Zn,-0.14
5/4/2021,WP,Single carcass,Scavenger,Mn,0.30
5/4/2021,WP,Single carcass,Scavenger,Fe,0.11
5/4/2021,WP,Single carcass,Scavenger,B,0.27
8/1/2020,GG,MME,Herbivore,N,0.40
8/1/2020,GG,MME,Herbivore,Ca,0.14
8/1/2020,GG,MME,Herbivore,K,0.57
8/1/2020,GG,MME,Herbivore,Mg,0.22
8/1/2020,GG,MME,Herbivore,P,0.54
8/1/2020,GG,MME,Herbivore,S,0.16
8/1/2020,GG,MME,Herbivore,Cu,0.44
8/1/2020,GG,MME,Herbivore,Zn,0.21
8/1/2020,GG,MME,Herbivore,Mn,0.87
8/1/2020,GG,MME,Herbivore,Fe,-0.09
8/1/2020,GG,MME,Herbivore,B,0.06
8/1/2020,GG,Single carcass,Herbivore,N,0.08
8/1/2020,GG,Single carcass,Herbivore,Ca,0.03
8/1/2020,GG,Single carcass,Herbivore,K,0.29
8/1/2020,GG,Single carcass,Herbivore,Mg,-0.06
8/1/2020,GG,Single carcass,Herbivore,P,0.30
8/1/2020,GG,Single carcass,Herbivore,S,-0.09
8/1/2020,GG,Single carcass,Herbivore,Cu,0.15
8/1/2020,GG,Single carcass,Herbivore,Zn,-0.10
8/1/2020,GG,Single carcass,Herbivore,Mn,0.98
8/1/2020,GG,Single carcass,Herbivore,Fe,-0.03
8/1/2020,GG,Single carcass,Herbivore,B,0.35
8/1/2020,GG,MME,Open,N,0.38
8/1/2020,GG,MME,Open,Ca,0.01
8/1/2020,GG,MME,Open,K,0.40
8/1/2020,GG,MME,Open,Mg,0.15
8/1/2020,GG,MME,Open,P,0.63
8/1/2020,GG,MME,Open,S,0.13
8/1/2020,GG,MME,Open,Cu,0.28
8/1/2020,GG,MME,Open,Zn,-0.53
8/1/2020,GG,MME,Open,Mn,0.52
8/1/2020,GG,MME,Open,Fe,-0.21
8/1/2020,GG,MME,Open,B,0.10
8/1/2020,GG,Single carcass,Open,N,-0.15
8/1/2020,GG,Single carcass,Open,Ca,-0.17
8/1/2020,GG,Single carcass,Open,K,-0.16
8/1/2020,GG,Single carcass,Open,Mg,-0.46
8/1/2020,GG,Single carcass,Open,P,-0.08
8/1/2020,GG,Single carcass,Open,S,-0.09
8/1/2020,GG,Single carcass,Open,Cu,-0.05
8/1/2020,GG,Single carcass,Open,Zn,0.04
8/1/2020,GG,Single carcass,Open,Mn,0.35
8/1/2020,GG,Single carcass,Open,Fe,-0.09
8/1/2020,GG,Single carcass,Open,B,0.03
8/1/2020,GG,MME,Scavenger,N,0.22
8/1/2020,GG,MME,Scavenger,Ca,-0.05
8/1/2020,GG,MME,Scavenger,K,0.40
8/1/2020,GG,MME,Scavenger,Mg,-0.07
8/1/2020,GG,MME,Scavenger,P,0.68
8/1/2020,GG,MME,Scavenger,S,-0.05
8/1/2020,GG,MME,Scavenger,Cu,-0.11
8/1/2020,GG,MME,Scavenger,Zn,-0.20
8/1/2020,GG,MME,Scavenger,Mn,0.42
8/1/2020,GG,MME,Scavenger,Fe,-0.02
8/1/2020,GG,MME,Scavenger,B,0.06
8/1/2020,GG,Single carcass,Scavenger,N,-0.08
8/1/2020,GG,Single carcass,Scavenger,Ca,-0.15
8/1/2020,GG,Single carcass,Scavenger,K,-0.04
8/1/2020,GG,Single carcass,Scavenger,Mg,-0.33
8/1/2020,GG,Single carcass,Scavenger,P,-0.06
8/1/2020,GG,Single carcass,Scavenger,S,-0.18
8/1/2020,GG,Single carcass,Scavenger,Cu,-0.05
8/1/2020,GG,Single carcass,Scavenger,Zn,-0.39
8/1/2020,GG,Single carcass,Scavenger,Mn,0.84
8/1/2020,GG,Single carcass,Scavenger,Fe,-0.15
8/1/2020,GG,Single carcass,Scavenger,B,-0.30
5/4/2021,GG,MME,Herbivore,N,0.03
5/4/2021,GG,MME,Herbivore,Ca,0.15
5/4/2021,GG,MME,Herbivore,K,1.15
5/4/2021,GG,MME,Herbivore,Mg,0.70
5/4/2021,GG,MME,Herbivore,P,1.24
5/4/2021,GG,MME,Herbivore,S,0.78
5/4/2021,GG,MME,Herbivore,Cu,-0.10
5/4/2021,GG,MME,Herbivore,Zn,-0.49
5/4/2021,GG,MME,Herbivore,Mn,1.74
5/4/2021,GG,MME,Herbivore,Fe,-0.25
5/4/2021,GG,MME,Herbivore,B,-1.02
5/4/2021,GG,Single carcass,Herbivore,N,-0.15
5/4/2021,GG,Single carcass,Herbivore,Ca,0.03
5/4/2021,GG,Single carcass,Herbivore,K,0.88
5/4/2021,GG,Single carcass,Herbivore,Mg,0.34
5/4/2021,GG,Single carcass,Herbivore,P,1.12
5/4/2021,GG,Single carcass,Herbivore,S,0.45
5/4/2021,GG,Single carcass,Herbivore,Cu,-0.16
5/4/2021,GG,Single carcass,Herbivore,Zn,-0.82
5/4/2021,GG,Single carcass,Herbivore,Mn,1.28
5/4/2021,GG,Single carcass,Herbivore,Fe,-0.45
5/4/2021,GG,Single carcass,Herbivore,B,-0.80
5/4/2021,GG,MME,Open,N,0.35
5/4/2021,GG,MME,Open,Ca,0.05
5/4/2021,GG,MME,Open,K,0.91
5/4/2021,GG,MME,Open,Mg,0.63
5/4/2021,GG,MME,Open,P,1.01
5/4/2021,GG,MME,Open,S,0.53
5/4/2021,GG,MME,Open,Cu,-0.06
5/4/2021,GG,MME,Open,Zn,-0.75
5/4/2021,GG,MME,Open,Mn,1.71
5/4/2021,GG,MME,Open,Fe,-0.35
5/4/2021,GG,MME,Open,B,-0.73
5/4/2021,GG,Single carcass,Open,N,-0.24
5/4/2021,GG,Single carcass,Open,Ca,-0.12
5/4/2021,GG,Single carcass,Open,K,0.70
5/4/2021,GG,Single carcass,Open,Mg,0.14
5/4/2021,GG,Single carcass,Open,P,0.32
5/4/2021,GG,Single carcass,Open,S,0.40
5/4/2021,GG,Single carcass,Open,Cu,-0.04
5/4/2021,GG,Single carcass,Open,Zn,-0.54
5/4/2021,GG,Single carcass,Open,Mn,0.58
5/4/2021,GG,Single carcass,Open,Fe,-0.33
5/4/2021,GG,Single carcass,Open,B,-0.91
5/4/2021,GG,MME,Scavenger,N,-0.37
5/4/2021,GG,MME,Scavenger,Ca,0.19
5/4/2021,GG,MME,Scavenger,K,0.87
5/4/2021,GG,MME,Scavenger,Mg,0.28
5/4/2021,GG,MME,Scavenger,P,1.28
5/4/2021,GG,MME,Scavenger,S,0.63
5/4/2021,GG,MME,Scavenger,Cu,-0.09
5/4/2021,GG,MME,Scavenger,Zn,-0.99
5/4/2021,GG,MME,Scavenger,Mn,0.36
5/4/2021,GG,MME,Scavenger,Fe,-0.36
5/4/2021,GG,MME,Scavenger,B,-0.54
5/4/2021,GG,Single carcass,Scavenger,N,-0.12
5/4/2021,GG,Single carcass,Scavenger,Ca,0.39
5/4/2021,GG,Single carcass,Scavenger,K,0.82
5/4/2021,GG,Single carcass,Scavenger,Mg,0.39
5/4/2021,GG,Single carcass,Scavenger,P,0.80
5/4/2021,GG,Single carcass,Scavenger,S,0.52
5/4/2021,GG,Single carcass,Scavenger,Cu,-0.13
5/4/2021,GG,Single carcass,Scavenger,Zn,-0.86
5/4/2021,GG,Single carcass,Scavenger,Mn,0.93
5/4/2021,GG,Single carcass,Scavenger,Fe,-0.41
5/4/2021,GG,Single carcass,Scavenger,B,-0.56
