Area,Depth,Shoreline,Prey,Plankton,Temperature,pH,Oxygen,Turbidity,Fish,Lake name
96,22,43441,8,90,8,6,4.2,5,no,A
36,18,18719,12,180,8,5.5,4.2,10,no,D
18,11,29758,26,320,10,6.5,4.2,10,no,G
50,31,21589,38,480,5,6.5,4.2,7,yes,Q
18,11,23649,51,650,11,6,4.2,6,no,M
90,19,59874,3,50,7,5.5,4.3,6,no,B
26,13,26874,22,450,11,6.1,4.3,6,no,I
53,21,27932,27,180,7,6,4.3,8,no,E
15,9,13947,45,680,10,7,4.3,6,no,J
65,17,29658,51,570,8,7,4.3,6,yes,T
31,20,36189,54,650,6,6.5,4.3,6,yes,Y
21,12,14895,65,750,11,6.6,4.3,9,no,K
71,23,32929,5,80,6,5,4.4,10,no,C
18,10,26535,18,210,11,6,4.4,7,no,F
85,22,38884,64,340,6,6,4.4,7,yes,N
29,19,27537,36,500,8,7,4.5,5,yes,X
31,15,22265,38,630,9,7,4.5,9,yes,U
12,5,12034,78,500,13,6.5,4.5,5,no,L
74,28,47300,41,480,6,6,4.6,8,yes,P
27,17,20757,47,680,9,6,4.6,9,yes,W
84,18,55202,50,360,7,6.7,4.6,6,yes,O
32,12,22239,28,550,9,7,4.7,10,no,H
94,32,54647,59,550,5,6.5,4.7,10,yes,R
18,14,22470,74,680,6,7.25,4.7,6,yes,S
28,26,13287,61,510,7,7,4.8,6,yes,V
24,22,10490,65,620,7,6.5,4.8,9,yes,Z