"Site","Treatment","Biomass","Fencing","Variable","Date","Measurement","Effect.size"
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2020-05-19",1,0.14360111064313
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2020-07-21",2,0.12532229983805
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2021-05-05",3,0.136565021809061
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2020-05-19",1,0.980829253011726
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2020-07-21",2,0.747214401830221
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2021-05-05",3,0.259511195485085
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2020-05-19",1,0.503905180921417
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2020-07-21",2,0.403821722364434
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2021-05-05",3,0.36183402674876
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2020-05-19",1,0.0811255448123685
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2020-07-21",2,0.0413852161628545
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2021-05-05",3,0.106767975425706
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Percent Nitrogen","2020-05-19",1,0.12822417461523
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Percent Nitrogen","2020-07-21",2,0.110882699578743
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Percent Nitrogen","2021-05-05",3,0.148082983264833
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2020-05-19",1,0.0601539228197471
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2020-07-21",2,0.0953101798043249
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2021-05-05",3,0.0280041964095973
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2020-05-19",1,1.23676262714893
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2020-07-21",2,1.76675816702264
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2021-05-05",3,1.17007125265025
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2020-05-19",1,0.827269880977394
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2020-07-21",2,0.991029419911289
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2021-05-05",3,0.504496488714343
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2020-05-19",1,0.0923733201310151
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2020-07-21",2,0.0625203569813339
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2021-05-05",3,0.0625203569813339
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Percent Nitrogen","2020-05-19",1,0.0625203569813341
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Percent Nitrogen","2020-07-21",2,0.0923733201310153
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Percent Nitrogen","2021-05-05",3,0.0996993602230882
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2020-05-19",1,-0.258897111264006
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2020-07-21",2,0.105519527405032
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2021-05-05",3,-0.203914976846653
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2020-05-19",1,2.22161603046038
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2020-07-21",2,3.28341434600577
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2021-05-05",3,2.0654552997051
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2020-05-19",1,0.259137153962115
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2020-07-21",2,0.942131963058042
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2021-05-05",3,-0.00262123347987419
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2020-05-19",1,-0.0504308536268919
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2020-07-21",2,-0.121889817609037
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2021-05-05",3,-0.085522173438162
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Percent Nitrogen","2020-05-19",1,-0.144481582555233
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Percent Nitrogen","2020-07-21",2,0.252310444299502
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Percent Nitrogen","2021-05-05",3,-0.0600642407426501
"WP","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2020-05-19",1,0.0233171413180684
"WP","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2020-07-21",2,0.0322391335870946
"WP","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2021-05-05",3,0.0120515321238495
"WP","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2020-05-19",1,1.09861228866811
"WP","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2020-07-21",2,0.393904285707088
"WP","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2021-05-05",3,1.45298573561856
"WP","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2020-05-19",1,0.451677951263296
"WP","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2020-07-21",2,0.273219889294386
"WP","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2021-05-05",3,0.691456563082038
"WP","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2020-05-19",1,0.0597192347016223
"WP","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2020-07-21",2,0.169418151958047
"WP","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2021-05-05",3,-0.0155041865359652
"WP","MME Herbivore Exclusion","MME","Herbivore Exclusion","Percent Nitrogen","2020-05-19",1,0.0431721718652086
"WP","MME Herbivore Exclusion","MME","Herbivore Exclusion","Percent Nitrogen","2020-07-21",2,0.111225635110224
"WP","MME Herbivore Exclusion","MME","Herbivore Exclusion","Percent Nitrogen","2021-05-05",3,0.127539210601748
"DF","MME Open","MME","Open","Organic matter","2020-05-19",1,0.389357120900204
"DF","MME Open","MME","Open","Organic matter","2020-07-21",2,0.431098655715137
"DF","MME Open","MME","Open","Organic matter","2021-05-05",3,0.605051962838575
"DF","MME Open","MME","Open","Phosphorous","2020-05-19",1,1.84582669049833
"DF","MME Open","MME","Open","Phosphorous","2020-07-21",2,2.058388132482
"DF","MME Open","MME","Open","Phosphorous","2021-05-05",3,1.22866541691631
"DF","MME Open","MME","Open","Potassium","2020-05-19",1,0.561087458546879
"DF","MME Open","MME","Open","Potassium","2020-07-21",2,0.413451459740814
"DF","MME Open","MME","Open","Potassium","2021-05-05",3,0.342833892526861
"DF","MME Open","MME","Open","Soil pH","2020-05-19",1,0.0915671935254904
"DF","MME Open","MME","Open","Soil pH","2020-07-21",2,0.0662493855412007
"DF","MME Open","MME","Open","Soil pH","2021-05-05",3,0.0915671935254904
"DF","MME Open","MME","Open","Percent Nitrogen","2020-05-19",1,-0.116505080210892
"DF","MME Open","MME","Open","Percent Nitrogen","2020-07-21",2,-0.074304725720515
"DF","MME Open","MME","Open","Percent Nitrogen","2021-05-05",3,0.0880764532432588
"GG","MME Open","MME","Open","Organic matter","2020-05-19",1,-0.143847275998158
"GG","MME Open","MME","Open","Organic matter","2020-07-21",2,0.259298029909775
"GG","MME Open","MME","Open","Organic matter","2021-05-05",3,-0.0509775547648675
"GG","MME Open","MME","Open","Phosphorous","2020-05-19",1,1.4294665329851
"GG","MME Open","MME","Open","Phosphorous","2020-07-21",2,2.04198397914494
"GG","MME Open","MME","Open","Phosphorous","2021-05-05",3,0.60077386042893
"GG","MME Open","MME","Open","Potassium","2020-05-19",1,0.198450938723838
"GG","MME Open","MME","Open","Potassium","2020-07-21",2,0.640997721736535
"GG","MME Open","MME","Open","Potassium","2021-05-05",3,0.311779624030842
"GG","MME Open","MME","Open","Soil pH","2020-05-19",1,-0.0160003413464411
"GG","MME Open","MME","Open","Soil pH","2020-07-21",2,-0.117783035656384
"GG","MME Open","MME","Open","Soil pH","2021-05-05",3,0.133531392624523
"GG","MME Open","MME","Open","Percent Nitrogen","2020-05-19",1,-0.0926588304827048
"GG","MME Open","MME","Open","Percent Nitrogen","2020-07-21",2,0.273197139530414
"GG","MME Open","MME","Open","Percent Nitrogen","2021-05-05",3,-0.00888894741724604
"OS","MME Open","MME","Open","Organic matter","2020-05-19",1,-0.123423915546469
"OS","MME Open","MME","Open","Organic matter","2020-07-21",2,0.180876068133972
"OS","MME Open","MME","Open","Organic matter","2021-05-05",3,-0.00384069938593789
"OS","MME Open","MME","Open","Phosphorous","2020-05-19",1,2.7545702167371
"OS","MME Open","MME","Open","Phosphorous","2020-07-21",2,3.31678003984957
"OS","MME Open","MME","Open","Phosphorous","2021-05-05",3,1.86075234071501
"OS","MME Open","MME","Open","Potassium","2020-05-19",1,0.335225612732363
"OS","MME Open","MME","Open","Potassium","2020-07-21",2,0.837700457280933
"OS","MME Open","MME","Open","Potassium","2021-05-05",3,0.0592556962090933
"OS","MME Open","MME","Open","Soil pH","2020-05-19",1,0.0162605208717803
"OS","MME Open","MME","Open","Soil pH","2020-07-21",2,-0.0165293019512105
"OS","MME Open","MME","Open","Soil pH","2021-05-05",3,0
"OS","MME Open","MME","Open","Percent Nitrogen","2020-05-19",1,-0.035268138837458
"OS","MME Open","MME","Open","Percent Nitrogen","2020-07-21",2,0.213193220461042
"OS","MME Open","MME","Open","Percent Nitrogen","2021-05-05",3,0.0853598489511566
"WP","MME Open","MME","Open","Organic matter","2020-05-19",1,0.107957141505092
"WP","MME Open","MME","Open","Organic matter","2020-07-21",2,0.0974896212772571
"WP","MME Open","MME","Open","Organic matter","2021-05-05",3,0.0698991273796672
"WP","MME Open","MME","Open","Phosphorous","2020-05-19",1,1.06784063000136
"WP","MME Open","MME","Open","Phosphorous","2020-07-21",2,0.969400557188103
"WP","MME Open","MME","Open","Phosphorous","2021-05-05",3,0.519875459285909
"WP","MME Open","MME","Open","Potassium","2020-05-19",1,0.548483947566578
"WP","MME Open","MME","Open","Potassium","2020-07-21",2,0.421328772081332
"WP","MME Open","MME","Open","Potassium","2021-05-05",3,0.404234338722032
"WP","MME Open","MME","Open","Soil pH","2020-05-19",1,0.0662493855412007
"WP","MME Open","MME","Open","Soil pH","2020-07-21",2,0.0270286723879194
"WP","MME Open","MME","Open","Soil pH","2021-05-05",3,0.0270286723879194
"WP","MME Open","MME","Open","Percent Nitrogen","2020-05-19",1,0.114113306767421
"WP","MME Open","MME","Open","Percent Nitrogen","2020-07-21",2,0.0943106794712412
"WP","MME Open","MME","Open","Percent Nitrogen","2021-05-05",3,0.136731395355193
"DF","MME Scavenger Exclusion","MME","Scavenger Exclusion","Organic matter","2020-05-19",1,0.0061808590750811
"DF","MME Scavenger Exclusion","MME","Scavenger Exclusion","Organic matter","2020-07-21",2,0.320117800332492
"DF","MME Scavenger Exclusion","MME","Scavenger Exclusion","Organic matter","2021-05-05",3,0.0842492324449
"DF","MME Scavenger Exclusion","MME","Scavenger Exclusion","Phosphorous","2020-05-19",1,2.32238772029023
"DF","MME Scavenger Exclusion","MME","Scavenger Exclusion","Phosphorous","2020-07-21",2,3.86702563949741
"DF","MME Scavenger Exclusion","MME","Scavenger Exclusion","Phosphorous","2021-05-05",3,1.88706964903238
"DF","MME Scavenger Exclusion","MME","Scavenger Exclusion","Potassium","2020-05-19",1,0.186622638693345
"DF","MME Scavenger Exclusion","MME","Scavenger Exclusion","Potassium","2020-07-21",2,0.576225842501043
"DF","MME Scavenger Exclusion","MME","Scavenger Exclusion","Potassium","2021-05-05",3,0.376308523816709
"DF","MME Scavenger Exclusion","MME","Scavenger Exclusion","Soil pH","2020-05-19",1,0
"DF","MME Scavenger Exclusion","MME","Scavenger Exclusion","Soil pH","2020-07-21",2,-0.0162605208717804
"DF","MME Scavenger Exclusion","MME","Scavenger Exclusion","Soil pH","2021-05-05",3,0.106972119552168
"DF","MME Scavenger Exclusion","MME","Scavenger Exclusion","Percent Nitrogen","2020-05-19",1,0.0406376457318263
"DF","MME Scavenger Exclusion","MME","Scavenger Exclusion","Percent Nitrogen","2020-07-21",2,0.40084616225187
"DF","MME Scavenger Exclusion","MME","Scavenger Exclusion","Percent Nitrogen","2021-05-05",3,0.133531392624523
"GG","MME Scavenger Exclusion","MME","Scavenger Exclusion","Organic matter","2020-05-19",1,0.134163244246288
"GG","MME Scavenger Exclusion","MME","Scavenger Exclusion","Organic matter","2020-07-21",2,0.463946862470887
"GG","MME Scavenger Exclusion","MME","Scavenger Exclusion","Organic matter","2021-05-05",3,0.158545404467437
"GG","MME Scavenger Exclusion","MME","Scavenger Exclusion","Phosphorous","2020-05-19",1,2.91777073208428
"GG","MME Scavenger Exclusion","MME","Scavenger Exclusion","Phosphorous","2020-07-21",2,2.97892515523761
"GG","MME Scavenger Exclusion","MME","Scavenger Exclusion","Phosphorous","2021-05-05",3,2.56494935746154
"GG","MME Scavenger Exclusion","MME","Scavenger Exclusion","Potassium","2020-05-19",1,0.400355234955894
"GG","MME Scavenger Exclusion","MME","Scavenger Exclusion","Potassium","2020-07-21",2,0.510825623765991
"GG","MME Scavenger Exclusion","MME","Scavenger Exclusion","Potassium","2021-05-05",3,0.223754985145548
"GG","MME Scavenger Exclusion","MME","Scavenger Exclusion","Soil pH","2020-05-19",1,0.0285733724440559
"GG","MME Scavenger Exclusion","MME","Scavenger Exclusion","Soil pH","2020-07-21",2,-0.0752234212375875
"GG","MME Scavenger Exclusion","MME","Scavenger Exclusion","Soil pH","2021-05-05",3,0.0143887374520995
"GG","MME Scavenger Exclusion","MME","Scavenger Exclusion","Percent Nitrogen","2020-05-19",1,0.0911521696556613
"GG","MME Scavenger Exclusion","MME","Scavenger Exclusion","Percent Nitrogen","2020-07-21",2,0.352933513675285
"GG","MME Scavenger Exclusion","MME","Scavenger Exclusion","Percent Nitrogen","2021-05-05",3,0.178163546645291
"OS","MME Scavenger Exclusion","MME","Scavenger Exclusion","Organic matter","2020-05-19",1,0.0506828378265831
"OS","MME Scavenger Exclusion","MME","Scavenger Exclusion","Organic matter","2020-07-21",2,0.24631939124628
"OS","MME Scavenger Exclusion","MME","Scavenger Exclusion","Organic matter","2021-05-05",3,0.072104421985314
"OS","MME Scavenger Exclusion","MME","Scavenger Exclusion","Phosphorous","2020-05-19",1,2.91777073208428
"OS","MME Scavenger Exclusion","MME","Scavenger Exclusion","Phosphorous","2020-07-21",2,3.3557350075854
"OS","MME Scavenger Exclusion","MME","Scavenger Exclusion","Phosphorous","2021-05-05",3,2.38262780066758
"OS","MME Scavenger Exclusion","MME","Scavenger Exclusion","Potassium","2020-05-19",1,0.526234249118836
"OS","MME Scavenger Exclusion","MME","Scavenger Exclusion","Potassium","2020-07-21",2,0.763588278223262
"OS","MME Scavenger Exclusion","MME","Scavenger Exclusion","Potassium","2021-05-05",3,0.440056552877783
"OS","MME Scavenger Exclusion","MME","Scavenger Exclusion","Soil pH","2020-05-19",1,0.0298529631496811
"OS","MME Scavenger Exclusion","MME","Scavenger Exclusion","Soil pH","2020-07-21",2,-0.0625203569813339
"OS","MME Scavenger Exclusion","MME","Scavenger Exclusion","Soil pH","2021-05-05",3,0.0150378773645405
"OS","MME Scavenger Exclusion","MME","Scavenger Exclusion","Percent Nitrogen","2020-05-19",1,0.0786431273191131
"OS","MME Scavenger Exclusion","MME","Scavenger Exclusion","Percent Nitrogen","2020-07-21",2,0.286545062664706
"OS","MME Scavenger Exclusion","MME","Scavenger Exclusion","Percent Nitrogen","2021-05-05",3,0.0870113769896297
"WP","MME Scavenger Exclusion","MME","Scavenger Exclusion","Organic matter","2020-05-19",1,-0.111965087127837
"WP","MME Scavenger Exclusion","MME","Scavenger Exclusion","Organic matter","2020-07-21",2,-0.0759604852553764
"WP","MME Scavenger Exclusion","MME","Scavenger Exclusion","Organic matter","2021-05-05",3,0.0742810030051232
"WP","MME Scavenger Exclusion","MME","Scavenger Exclusion","Phosphorous","2020-05-19",1,1.66073120682165
"WP","MME Scavenger Exclusion","MME","Scavenger Exclusion","Phosphorous","2020-07-21",2,2.43083942851772
"WP","MME Scavenger Exclusion","MME","Scavenger Exclusion","Phosphorous","2021-05-05",3,2.22034699475707
"WP","MME Scavenger Exclusion","MME","Scavenger Exclusion","Potassium","2020-05-19",1,0.433322062611131
"WP","MME Scavenger Exclusion","MME","Scavenger Exclusion","Potassium","2020-07-21",2,0.615338322501478
"WP","MME Scavenger Exclusion","MME","Scavenger Exclusion","Potassium","2021-05-05",3,0.51758240622887
"WP","MME Scavenger Exclusion","MME","Scavenger Exclusion","Soil pH","2020-05-19",1,0.0699585886069105
"WP","MME Scavenger Exclusion","MME","Scavenger Exclusion","Soil pH","2020-07-21",2,0.0425596144187959
"WP","MME Scavenger Exclusion","MME","Scavenger Exclusion","Soil pH","2021-05-05",3,0.083381608939051
"WP","MME Scavenger Exclusion","MME","Scavenger Exclusion","Percent Nitrogen","2020-05-19",1,-0.0829662977958213
"WP","MME Scavenger Exclusion","MME","Scavenger Exclusion","Percent Nitrogen","2020-07-21",2,-0.0456105112520523
"WP","MME Scavenger Exclusion","MME","Scavenger Exclusion","Percent Nitrogen","2021-05-05",3,0.201249566679473
"DF","No Carrion Reference","Reference","Reference","Organic matter","2020-05-19",1,0.395811038127315
"DF","No Carrion Reference","Reference","Reference","Organic matter","2020-07-21",2,0.43823281087084
"DF","No Carrion Reference","Reference","Reference","Organic matter","2021-05-05",3,0.43823281087084
"DF","No Carrion Reference","Reference","Reference","Phosphorous","2020-05-19",1,0.659245628884264
"DF","No Carrion Reference","Reference","Reference","Phosphorous","2020-07-21",2,0.929535958624176
"DF","No Carrion Reference","Reference","Reference","Phosphorous","2021-05-05",3,0.125163142954006
"DF","No Carrion Reference","Reference","Reference","Potassium","2020-05-19",1,0.197400663621075
"DF","No Carrion Reference","Reference","Reference","Potassium","2020-07-21",2,0.254685045843126
"DF","No Carrion Reference","Reference","Reference","Potassium","2021-05-05",3,-0.00832182333749222
"DF","No Carrion Reference","Reference","Reference","Soil pH","2020-05-19",1,0.0653827592628517
"DF","No Carrion Reference","Reference","Reference","Soil pH","2020-07-21",2,0.0397403286495141
"DF","No Carrion Reference","Reference","Reference","Soil pH","2021-05-05",3,0.0526437334854219
"DF","No Carrion Reference","Reference","Reference","Percent Nitrogen","2020-05-19",1,-0.122245030359835
"DF","No Carrion Reference","Reference","Reference","Percent Nitrogen","2020-07-21",2,-0.0621669064165514
"DF","No Carrion Reference","Reference","Reference","Percent Nitrogen","2021-05-05",3,-0.0448254313800644
"GG","No Carrion Reference","Reference","Reference","Organic matter","2020-05-19",1,0.0208359613153306
"GG","No Carrion Reference","Reference","Reference","Organic matter","2020-07-21",2,0.0642884898823619
"GG","No Carrion Reference","Reference","Reference","Organic matter","2021-05-05",3,-0.0217902376492168
"GG","No Carrion Reference","Reference","Reference","Phosphorous","2020-05-19",1,0.773189888233482
"GG","No Carrion Reference","Reference","Reference","Phosphorous","2020-07-21",2,0.980829253011726
"GG","No Carrion Reference","Reference","Reference","Phosphorous","2021-05-05",3,0.405465108108164
"GG","No Carrion Reference","Reference","Reference","Potassium","2020-05-19",1,0.270290329739912
"GG","No Carrion Reference","Reference","Reference","Potassium","2020-07-21",2,0.355381003710753
"GG","No Carrion Reference","Reference","Reference","Potassium","2021-05-05",3,0.184474410155056
"GG","No Carrion Reference","Reference","Reference","Soil pH","2020-05-19",1,0.0845573880280632
"GG","No Carrion Reference","Reference","Reference","Soil pH","2020-07-21",2,0.0289875368732524
"GG","No Carrion Reference","Reference","Reference","Soil pH","2021-05-05",3,0.0571584138399486
"GG","No Carrion Reference","Reference","Reference","Percent Nitrogen","2020-05-19",1,0.0141345109349045
"GG","No Carrion Reference","Reference","Reference","Percent Nitrogen","2020-07-21",2,0.0246058108022
"GG","No Carrion Reference","Reference","Reference","Percent Nitrogen","2021-05-05",3,0.0141345109349045
"OS","No Carrion Reference","Reference","Reference","Organic matter","2020-05-19",1,-0.216664585216501
"OS","No Carrion Reference","Reference","Reference","Organic matter","2020-07-21",2,0.32584453354613
"OS","No Carrion Reference","Reference","Reference","Organic matter","2021-05-05",3,-0.206778197227945
"OS","No Carrion Reference","Reference","Reference","Phosphorous","2020-05-19",1,1.46633706879343
"OS","No Carrion Reference","Reference","Reference","Phosphorous","2020-07-21",2,1.73460105538811
"OS","No Carrion Reference","Reference","Reference","Phosphorous","2021-05-05",3,0.606135803570315
"OS","No Carrion Reference","Reference","Reference","Potassium","2020-05-19",1,0.0145281005629098
"OS","No Carrion Reference","Reference","Reference","Potassium","2020-07-21",2,0.387417038236461
"OS","No Carrion Reference","Reference","Reference","Potassium","2021-05-05",3,-0.211022190781865
"OS","No Carrion Reference","Reference","Reference","Soil pH","2020-05-19",1,0.0155041865359653
"OS","No Carrion Reference","Reference","Reference","Soil pH","2020-07-21",2,0
"OS","No Carrion Reference","Reference","Reference","Soil pH","2021-05-05",3,0.0155041865359653
"OS","No Carrion Reference","Reference","Reference","Percent Nitrogen","2020-05-19",1,-0.163533642928321
"OS","No Carrion Reference","Reference","Reference","Percent Nitrogen","2020-07-21",2,0.327814173878098
"OS","No Carrion Reference","Reference","Reference","Percent Nitrogen","2021-05-05",3,-0.114018578400941
"WP","No Carrion Reference","Reference","Reference","Organic matter","2020-05-19",1,-0.105067629260306
"WP","No Carrion Reference","Reference","Reference","Organic matter","2020-07-21",2,0.0653875923927142
"WP","No Carrion Reference","Reference","Reference","Organic matter","2021-05-05",3,-0.00318689092851913
"WP","No Carrion Reference","Reference","Reference","Phosphorous","2020-05-19",1,0.141078598259906
