TRIAL,YEAR,MONTH,DAY,DATE,SITE,TREATMENT,DISH,SEEDS,NOTES
1,2019,4,18,4/18/19,DF,MME,A,30,
1,2019,4,18,4/18/19,DF,MME,B,30,
1,2019,4,18,4/18/19,DF,MME,C,30,
1,2019,4,18,4/18/19,DF,CONTROL,A,30,
1,2019,4,18,4/18/19,DF,CONTROL,B,30,
1,2019,4,18,4/18/19,DF,CONTROL,C,30,
1,2019,4,18,4/18/19,WP,MME,A,30,
1,2019,4,18,4/18/19,WP,MME,B,30,
1,2019,4,18,4/18/19,WP,MME,C,30,
1,2019,4,18,4/18/19,WP,CONTROL,A,30,
1,2019,4,18,4/18/19,WP,CONTROL,B,30,
1,2019,4,18,4/18/19,WP,CONTROL,C,30,
1,2019,4,18,4/18/19,GG,MME,A,30,
1,2019,4,18,4/18/19,GG,MME,B,30,
1,2019,4,18,4/18/19,GG,MME,C,30,
1,2019,4,18,4/18/19,GG,CONTROL,A,30,
1,2019,4,18,4/18/19,GG,CONTROL,B,30,
1,2019,4,18,4/18/19,GG,CONTROL,C,30,
1,2019,4,18,4/18/19,OS,MME,A,30,
1,2019,4,18,4/18/19,OS,MME,B,30,
1,2019,4,18,4/18/19,OS,MME,C,30,
1,2019,4,18,4/18/19,OS,CONTROL,A,30,
1,2019,4,18,4/18/19,OS,CONTROL,B,30,
1,2019,4,18,4/18/19,OS,CONTROL,C,30,
1,2019,4,19,4/19/19,DF,MME,A,30,
1,2019,4,19,4/19/19,DF,MME,B,29,
1,2019,4,19,4/19/19,DF,MME,C,29,
1,2019,4,19,4/19/19,DF,CONTROL,A,26,
1,2019,4,19,4/19/19,DF,CONTROL,B,29,
1,2019,4,19,4/19/19,DF,CONTROL,C,30,
1,2019,4,19,4/19/19,WP,MME,A,30,
1,2019,4,19,4/19/19,WP,MME,B,25,
1,2019,4,19,4/19/19,WP,MME,C,24,
1,2019,4,19,4/19/19,WP,CONTROL,A,27,
1,2019,4,19,4/19/19,WP,CONTROL,B,28,
1,2019,4,19,4/19/19,WP,CONTROL,C,26,
1,2019,4,19,4/19/19,GG,MME,A,25,
1,2019,4,19,4/19/19,GG,MME,B,22,
1,2019,4,19,4/19/19,GG,MME,C,28,
1,2019,4,19,4/19/19,GG,CONTROL,A,27,
1,2019,4,19,4/19/19,GG,CONTROL,B,26,
1,2019,4,19,4/19/19,GG,CONTROL,C,30,
1,2019,4,19,4/19/19,OS,MME,A,29,
1,2019,4,19,4/19/19,OS,MME,B,30,
1,2019,4,19,4/19/19,OS,MME,C,30,
1,2019,4,19,4/19/19,OS,CONTROL,A,30,
1,2019,4,19,4/19/19,OS,CONTROL,B,30,
1,2019,4,19,4/19/19,OS,CONTROL,C,30,
1,2019,4,20,4/20/19,DF,MME,A,30,
1,2019,4,20,4/20/19,DF,MME,B,29,
1,2019,4,20,4/20/19,DF,MME,C,29,
1,2019,4,20,4/20/19,DF,CONTROL,A,26,
1,2019,4,20,4/20/19,DF,CONTROL,B,29,
1,2019,4,20,4/20/19,DF,CONTROL,C,29,
1,2019,4,20,4/20/19,WP,MME,A,30,
1,2019,4,20,4/20/19,WP,MME,B,25,
1,2019,4,20,4/20/19,WP,MME,C,24,
1,2019,4,20,4/20/19,WP,CONTROL,A,27,
1,2019,4,20,4/20/19,WP,CONTROL,B,27,
1,2019,4,20,4/20/19,WP,CONTROL,C,26,
1,2019,4,20,4/20/19,GG,MME,A,25,
1,2019,4,20,4/20/19,GG,MME,B,22,
1,2019,4,20,4/20/19,GG,MME,C,27,
1,2019,4,20,4/20/19,GG,CONTROL,A,27,
1,2019,4,20,4/20/19,GG,CONTROL,B,26,
1,2019,4,20,4/20/19,GG,CONTROL,C,30,
1,2019,4,20,4/20/19,OS,MME,A,28,
1,2019,4,20,4/20/19,OS,MME,B,30,
1,2019,4,20,4/20/19,OS,MME,C,30,
1,2019,4,20,4/20/19,OS,CONTROL,A,29,
1,2019,4,20,4/20/19,OS,CONTROL,B,30,
1,2019,4,20,4/20/19,OS,CONTROL,C,30,
1,2019,4,21,4/21/19,DF,MME,A,30,
1,2019,4,21,4/21/19,DF,MME,B,29,
1,2019,4,21,4/21/19,DF,MME,C,29,
1,2019,4,21,4/21/19,DF,CONTROL,A,26,
1,2019,4,21,4/21/19,DF,CONTROL,B,29,
1,2019,4,21,4/21/19,DF,CONTROL,C,29,
1,2019,4,21,4/21/19,WP,MME,A,30,
1,2019,4,21,4/21/19,WP,MME,B,25,
1,2019,4,21,4/21/19,WP,MME,C,24,
1,2019,4,21,4/21/19,WP,CONTROL,A,27,
1,2019,4,21,4/21/19,WP,CONTROL,B,27,
1,2019,4,21,4/21/19,WP,CONTROL,C,26,
1,2019,4,21,4/21/19,GG,MME,A,25,
1,2019,4,21,4/21/19,GG,MME,B,22,
1,2019,4,21,4/21/19,GG,MME,C,27,
1,2019,4,21,4/21/19,GG,CONTROL,A,27,
1,2019,4,21,4/21/19,GG,CONTROL,B,26,
1,2019,4,21,4/21/19,GG,CONTROL,C,30,
1,2019,4,21,4/21/19,OS,MME,A,28,
1,2019,4,21,4/21/19,OS,MME,B,30,
1,2019,4,21,4/21/19,OS,MME,C,30,
1,2019,4,21,4/21/19,OS,CONTROL,A,27,
1,2019,4,21,4/21/19,OS,CONTROL,B,23,
1,2019,4,21,4/21/19,OS,CONTROL,C,30,
1,2019,4,22,4/22/19,DF,MME,A,29,
1,2019,4,22,4/22/19,DF,MME,B,29,
1,2019,4,22,4/22/19,DF,MME,C,28,
1,2019,4,22,4/22/19,DF,CONTROL,A,26,
1,2019,4,22,4/22/19,DF,CONTROL,B,29,
1,2019,4,22,4/22/19,DF,CONTROL,C,29,
1,2019,4,22,4/22/19,WP,MME,A,30,
1,2019,4,22,4/22/19,WP,MME,B,25,
1,2019,4,22,4/22/19,WP,MME,C,24,
1,2019,4,22,4/22/19,WP,CONTROL,A,27,
1,2019,4,22,4/22/19,WP,CONTROL,B,27,
1,2019,4,22,4/22/19,WP,CONTROL,C,26,
1,2019,4,22,4/22/19,GG,MME,A,25,
1,2019,4,22,4/22/19,GG,MME,B,22,
1,2019,4,22,4/22/19,GG,MME,C,26,
1,2019,4,22,4/22/19,GG,CONTROL,A,27,
1,2019,4,22,4/22/19,GG,CONTROL,B,26,
1,2019,4,22,4/22/19,GG,CONTROL,C,30,
1,2019,4,22,4/22/19,OS,MME,A,28,
1,2019,4,22,4/22/19,OS,MME,B,30,
1,2019,4,22,4/22/19,OS,MME,C,30,
1,2019,4,22,4/22/19,OS,CONTROL,A,27,
1,2019,4,22,4/22/19,OS,CONTROL,B,23,
1,2019,4,22,4/22/19,OS,CONTROL,C,30,
1,2019,5,4,5/4/19,DF,MME,A,20,
1,2019,5,4,5/4/19,DF,MME,B,12,
1,2019,5,4,5/4/19,DF,MME,C,27,
1,2019,5,4,5/4/19,DF,CONTROL,A,17,
1,2019,5,4,5/4/19,DF,CONTROL,B,10,
1,2019,5,4,5/4/19,DF,CONTROL,C,9,
1,2019,5,4,5/4/19,WP,MME,A,4,
1,2019,5,4,5/4/19,WP,MME,B,17,
1,2019,5,4,5/4/19,WP,MME,C,12,
1,2019,5,4,5/4/19,WP,CONTROL,A,1,
1,2019,5,4,5/4/19,WP,CONTROL,B,1,
1,2019,5,4,5/4/19,WP,CONTROL,C,1,
1,2019,5,4,5/4/19,GG,MME,A,4,
1,2019,5,4,5/4/19,GG,MME,B,14,
1,2019,5,4,5/4/19,GG,MME,C,19,
1,2019,5,4,5/4/19,GG,CONTROL,A,0,
1,2019,5,4,5/4/19,GG,CONTROL,B,3,
1,2019,5,4,5/4/19,GG,CONTROL,C,20,
1,2019,5,4,5/4/19,OS,MME,A,10,
1,2019,5,4,5/4/19,OS,MME,B,8,
1,2019,5,4,5/4/19,OS,MME,C,11,
1,2019,5,4,5/4/19,OS,CONTROL,A,12,
1,2019,5,4,5/4/19,OS,CONTROL,B,11,
1,2019,5,4,5/4/19,OS,CONTROL,C,0,
1,2019,5,5,5/5/19,DF,MME,A,19,
1,2019,5,5,5/5/19,DF,MME,B,12,
1,2019,5,5,5/5/19,DF,MME,C,26,
1,2019,5,5,5/5/19,DF,CONTROL,A,17,
1,2019,5,5,5/5/19,DF,CONTROL,B,10,
1,2019,5,5,5/5/19,DF,CONTROL,C,9,
1,2019,5,5,5/5/19,WP,MME,A,4,
1,2019,5,5,5/5/19,WP,MME,B,17,
1,2019,5,5,5/5/19,WP,MME,C,12,
1,2019,5,5,5/5/19,WP,CONTROL,A,0,
1,2019,5,5,5/5/19,WP,CONTROL,B,1,
1,2019,5,5,5/5/19,WP,CONTROL,C,1,
1,2019,5,5,5/5/19,GG,MME,A,4,
1,2019,5,5,5/5/19,GG,MME,B,14,
1,2019,5,5,5/5/19,GG,MME,C,17,
1,2019,5,5,5/5/19,GG,CONTROL,A,0,
1,2019,5,5,5/5/19,GG,CONTROL,B,3,
1,2019,5,5,5/5/19,GG,CONTROL,C,18,
1,2019,5,5,5/5/19,OS,MME,A,10,
1,2019,5,5,5/5/19,OS,MME,B,3,
1,2019,5,5,5/5/19,OS,MME,C,11,
1,2019,5,5,5/5/19,OS,CONTROL,A,10,
1,2019,5,5,5/5/19,OS,CONTROL,B,11,
1,2019,5,5,5/5/19,OS,CONTROL,C,NA,crossed out
1,2019,5,6,5/6/19,DF,MME,A,19,
1,2019,5,6,5/6/19,DF,MME,B,12,
1,2019,5,6,5/6/19,DF,MME,C,25,
1,2019,5,6,5/6/19,DF,CONTROL,A,15,
1,2019,5,6,5/6/19,DF,CONTROL,B,10,
1,2019,5,6,5/6/19,DF,CONTROL,C,9,
1,2019,5,6,5/6/19,WP,MME,A,4,
1,2019,5,6,5/6/19,WP,MME,B,17,
1,2019,5,6,5/6/19,WP,MME,C,12,
1,2019,5,6,5/6/19,WP,CONTROL,A,NA,crossed out
1,2019,5,6,5/6/19,WP,CONTROL,B,1,
1,2019,5,6,5/6/19,WP,CONTROL,C,1,
1,2019,5,6,5/6/19,GG,MME,A,4,
1,2019,5,6,5/6/19,GG,MME,B,14,
1,2019,5,6,5/6/19,GG,MME,C,17,
1,2019,5,6,5/6/19,GG,CONTROL,A,NA,crossed out
1,2019,5,6,5/6/19,GG,CONTROL,B,3,
1,2019,5,6,5/6/19,GG,CONTROL,C,18,
1,2019,5,6,5/6/19,OS,MME,A,10,
1,2019,5,6,5/6/19,OS,MME,B,3,
1,2019,5,6,5/6/19,OS,MME,C,11,
1,2019,5,6,5/6/19,OS,CONTROL,A,10,
1,2019,5,6,5/6/19,OS,CONTROL,B,11,
1,2019,5,6,5/6/19,OS,CONTROL,C,NA,crossed out
1,2019,7,21,7/21/19,DF,MME,A,0,
1,2019,7,21,7/21/19,DF,MME,B,0,
1,2019,7,21,7/21/19,DF,MME,C,0,
1,2019,7,21,7/21/19,DF,CONTROL,A,0,
1,2019,7,21,7/21/19,DF,CONTROL,B,0,
1,2019,7,21,7/21/19,DF,CONTROL,C,0,
1,2019,7,21,7/21/19,WP,MME,A,0,
1,2019,7,21,7/21/19,WP,MME,B,4,
1,2019,7,21,7/21/19,WP,MME,C,1,
1,2019,7,21,7/21/19,WP,CONTROL,A,0,
1,2019,7,21,7/21/19,WP,CONTROL,B,0,
1,2019,7,21,7/21/19,WP,CONTROL,C,0,
1,2019,7,21,7/21/19,GG,MME,A,0,
1,2019,7,21,7/21/19,GG,MME,B,0,knocked over
1,2019,7,21,7/21/19,GG,MME,C,0,
1,2019,7,21,7/21/19,GG,CONTROL,A,1,should be zero
1,2019,7,21,7/21/19,GG,CONTROL,B,0,
1,2019,7,21,7/21/19,GG,CONTROL,C,0,
1,2019,7,21,7/21/19,OS,MME,A,0,
1,2019,7,21,7/21/19,OS,MME,B,0,
1,2019,7,21,7/21/19,OS,MME,C,0,
1,2019,7,21,7/21/19,OS,CONTROL,A,0,
1,2019,7,21,7/21/19,OS,CONTROL,B,1,should be zero
1,2019,7,21,7/21/19,OS,CONTROL,C,1,should be zero
1,2019,7,22,7/22/19,DF,MME,A,0,
1,2019,7,22,7/22/19,DF,MME,B,0,
1,2019,7,22,7/22/19,DF,MME,C,NA,crossed out
1,2019,7,22,7/22/19,DF,CONTROL,A,0,
1,2019,7,22,7/22/19,DF,CONTROL,B,0,
1,2019,7,22,7/22/19,DF,CONTROL,C,0,
1,2019,7,22,7/22/19,WP,MME,A,0,
1,2019,7,22,7/22/19,WP,MME,B,0,
1,2019,7,22,7/22/19,WP,MME,C,0,
1,2019,7,22,7/22/19,WP,CONTROL,A,0,
1,2019,7,22,7/22/19,WP,CONTROL,B,0,
1,2019,7,22,7/22/19,WP,CONTROL,C,0,
1,2019,7,22,7/22/19,GG,MME,A,0,
1,2019,7,22,7/22/19,GG,MME,B,0,
1,2019,7,22,7/22/19,GG,MME,C,0,
1,2019,7,22,7/22/19,GG,CONTROL,A,0,
1,2019,7,22,7/22/19,GG,CONTROL,B,0,
1,2019,7,22,7/22/19,GG,CONTROL,C,0,
1,2019,7,22,7/22/19,OS,MME,A,0,
1,2019,7,22,7/22/19,OS,MME,B,0,
1,2019,7,22,7/22/19,OS,MME,C,0,
1,2019,7,22,7/22/19,OS,CONTROL,A,0,
1,2019,7,22,7/22/19,OS,CONTROL,B,0,
1,2019,7,22,7/22/19,OS,CONTROL,C,0,
2,2019,10,21,10/21/19,DF,MME,A,30,
2,2019,10,21,10/21/19,DF,MME,B,30,
2,2019,10,21,10/21/19,DF,MME,C,30,
2,2019,10,21,10/21/19,DF,CONTROL,A,30,
2,2019,10,21,10/21/19,DF,CONTROL,B,30,
2,2019,10,21,10/21/19,DF,CONTROL,C,30,
2,2019,10,21,10/21/19,WP,MME,A,30,
2,2019,10,21,10/21/19,WP,MME,B,30,
2,2019,10,21,10/21/19,WP,MME,C,30,
2,2019,10,21,10/21/19,WP,CONTROL,A,30,
2,2019,10,21,10/21/19,WP,CONTROL,B,30,
2,2019,10,21,10/21/19,WP,CONTROL,C,30,
2,2019,10,21,10/21/19,GG,MME,A,30,
2,2019,10,21,10/21/19,GG,MME,B,30,
2,2019,10,21,10/21/19,GG,MME,C,30,
2,2019,10,21,10/21/19,GG,CONTROL,A,30,
2,2019,10,21,10/21/19,GG,CONTROL,B,30,
2,2019,10,21,10/21/19,GG,CONTROL,C,30,
2,2019,10,21,10/21/19,OS,MME,A,30,
2,2019,10,21,10/21/19,OS,MME,B,30,
2,2019,10,21,10/21/19,OS,MME,C,30,
2,2019,10,21,10/21/19,OS,CONTROL,A,30,
2,2019,10,21,10/21/19,OS,CONTROL,B,30,
2,2019,10,21,10/21/19,OS,CONTROL,C,30,
2,2019,10,22,10/22/19,DF,MME,A,28,
2,2019,10,22,10/22/19,DF,MME,B,30,
2,2019,10,22,10/22/19,DF,MME,C,30,
2,2019,10,22,10/22/19,DF,CONTROL,A,30,
2,2019,10,22,10/22/19,DF,CONTROL,B,27,
2,2019,10,22,10/22/19,DF,CONTROL,C,30,
2,2019,10,22,10/22/19,WP,MME,A,30,
2,2019,10,22,10/22/19,WP,MME,B,29,
2,2019,10,22,10/22/19,WP,MME,C,30,
2,2019,10,22,10/22/19,WP,CONTROL,A,30,
2,2019,10,22,10/22/19,WP,CONTROL,B,30,
2,2019,10,22,10/22/19,WP,CONTROL,C,30,
2,2019,10,22,10/22/19,GG,MME,A,30,
2,2019,10,22,10/22/19,GG,MME,B,27,
2,2019,10,22,10/22/19,GG,MME,C,30,
2,2019,10,22,10/22/19,GG,CONTROL,A,30,
2,2019,10,22,10/22/19,GG,CONTROL,B,30,
2,2019,10,22,10/22/19,GG,CONTROL,C,29,
2,2019,10,22,10/22/19,OS,MME,A,30,
2,2019,10,22,10/22/19,OS,MME,B,30,
2,2019,10,22,10/22/19,OS,MME,C,30,
2,2019,10,22,10/22/19,OS,CONTROL,A,28,
2,2019,10,22,10/22/19,OS,CONTROL,B,27,
2,2019,10,22,10/22/19,OS,CONTROL,C,30,
2,2019,10,23,10/23/19,DF,MME,A,28,
2,2019,10,23,10/23/19,DF,MME,B,29,
2,2019,10,23,10/23/19,DF,MME,C,29,
2,2019,10,23,10/23/19,DF,CONTROL,A,30,
2,2019,10,23,10/23/19,DF,CONTROL,B,27,
2,2019,10,23,10/23/19,DF,CONTROL,C,30,
2,2019,10,23,10/23/19,WP,MME,A,30,
2,2019,10,23,10/23/19,WP,MME,B,29,
2,2019,10,23,10/23/19,WP,MME,C,30,
2,2019,10,23,10/23/19,WP,CONTROL,A,29,
2,2019,10,23,10/23/19,WP,CONTROL,B,30,
2,2019,10,23,10/23/19,WP,CONTROL,C,30,
2,2019,10,23,10/23/19,GG,MME,A,29,
2,2019,10,23,10/23/19,GG,MME,B,27,
2,2019,10,23,10/23/19,GG,MME,C,28,
2,2019,10,23,10/23/19,GG,CONTROL,A,28,
2,2019,10,23,10/23/19,GG,CONTROL,B,30,
2,2019,10,23,10/23/19,GG,CONTROL,C,29,
2,2019,10,23,10/23/19,OS,MME,A,30,
2,2019,10,23,10/23/19,OS,MME,B,30,
2,2019,10,23,10/23/19,OS,MME,C,30,
2,2019,10,23,10/23/19,OS,CONTROL,A,28,
2,2019,10,23,10/23/19,OS,CONTROL,B,27,
2,2019,10,23,10/23/19,OS,CONTROL,C,29,
2,2019,10,24,10/24/19,DF,MME,A,18,
2,2019,10,24,10/24/19,DF,MME,B,28,
2,2019,10,24,10/24/19,DF,MME,C,22,
2,2019,10,24,10/24/19,DF,CONTROL,A,11,
2,2019,10,24,10/24/19,DF,CONTROL,B,7,
2,2019,10,24,10/24/19,DF,CONTROL,C,18,
2,2019,10,24,10/24/19,WP,MME,A,26,
2,2019,10,24,10/24/19,WP,MME,B,18,
2,2019,10,24,10/24/19,WP,MME,C,21,
2,2019,10,24,10/24/19,WP,CONTROL,A,23,
2,2019,10,24,10/24/19,WP,CONTROL,B,11,
2,2019,10,24,10/24/19,WP,CONTROL,C,12,
2,2019,10,24,10/24/19,GG,MME,A,27,
2,2019,10,24,10/24/19,GG,MME,B,20,
2,2019,10,24,10/24/19,GG,MME,C,28,
2,2019,10,24,10/24/19,GG,CONTROL,A,17,
2,2019,10,24,10/24/19,GG,CONTROL,B,21,
2,2019,10,24,10/24/19,GG,CONTROL,C,23,
2,2019,10,24,10/24/19,OS,MME,A,29,
2,2019,10,24,10/24/19,OS,MME,B,21,
2,2019,10,24,10/24/19,OS,MME,C,23,
2,2019,10,24,10/24/19,OS,CONTROL,A,28,
2,2019,10,24,10/24/19,OS,CONTROL,B,27,
2,2019,10,24,10/24/19,OS,CONTROL,C,26,